               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11003,            0.047636,            0.049087,           0.0006877,             0.01157,           0.0002907,          4.5488e-05,            0.089198,            0.038516,            0.045737,             0.00055,             0.00055,             0.09505
                   1,            0.093507,            0.055305,            0.043949,             0.22259,            0.032919,           0.0053915,           0.0010565,            0.082992,            0.041175,            0.044577,             0.00111,             0.00111,             0.09001
                   2,             0.07425,            0.054689,            0.040946,            0.062259,             0.19771,            0.051107,            0.011889,            0.062617,            0.034395,             0.04481,           0.0016698,           0.0016698,             0.08497
                   3,            0.067851,            0.047109,            0.040567,             0.57935,             0.22005,             0.12009,            0.041566,            0.057115,            0.030833,            0.044313,           0.0022295,           0.0022295,             0.07993
                   4,             0.06464,            0.041151,            0.039711,             0.32907,             0.21793,             0.10904,            0.029185,            0.053754,            0.027439,            0.042232,           0.0027889,           0.0027889,            0.074889
                   5,            0.059508,            0.037553,            0.038839,             0.36368,             0.27988,             0.15967,            0.057151,            0.047101,            0.025691,            0.042063,           0.0033479,           0.0033479,            0.069848
                   6,            0.057021,            0.037614,            0.038724,              0.3505,             0.32172,             0.19758,            0.075273,            0.044822,             0.02521,            0.041778,           0.0039065,           0.0039065,            0.064807
                   7,            0.053476,            0.034871,            0.039043,             0.14977,             0.44144,             0.20718,            0.082794,            0.044963,            0.024438,             0.04102,           0.0044646,           0.0044646,            0.059765
                   8,             0.05091,            0.036053,            0.038895,             0.13983,             0.57806,             0.24771,            0.090536,             0.04152,            0.023602,            0.039401,           0.0050221,           0.0050221,            0.054722
                   9,             0.05459,            0.032839,            0.037432,             0.20952,             0.49667,              0.2473,            0.095364,            0.046361,            0.025545,            0.038045,           0.0055788,           0.0055788,            0.049679
                  10,            0.052586,            0.034509,            0.036284,             0.15041,               0.287,             0.16388,            0.064099,            0.054565,            0.033243,            0.040266,           0.0061348,           0.0061348,            0.044635
                  11,            0.050751,            0.034252,             0.03559,             0.22872,             0.49767,             0.32598,             0.15203,            0.038815,            0.025066,            0.038323,             0.00669,             0.00669,             0.03959
