               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10891,            0.048745,            0.049098,          0.00070883,           0.0090909,           0.0001482,          1.9087e-05,             0.10083,            0.030385,            0.049455,             0.00062,             0.00062,             0.09442
                   1,             0.08901,            0.055192,            0.043518,             0.23333,             0.13717,            0.028212,           0.0082231,             0.07554,            0.031577,            0.043855,           0.0012489,           0.0012489,            0.088749
                   2,            0.071171,            0.052661,            0.041359,             0.26201,             0.21087,             0.10853,            0.031654,            0.058997,            0.025859,            0.041757,           0.0018733,           0.0018733,            0.083073
                   3,            0.066068,            0.042168,            0.041119,            0.055298,             0.38273,            0.074924,            0.017069,            0.064464,            0.020365,            0.040975,             0.00249,             0.00249,             0.07739
                   4,            0.061825,            0.039121,            0.040526,              0.5795,             0.26669,             0.22289,             0.08687,            0.049665,            0.019653,            0.039602,           0.0030956,           0.0030956,            0.071696
                   5,            0.057669,            0.037755,            0.039665,             0.11111,             0.38762,             0.17431,            0.062774,            0.052527,            0.018521,            0.039436,            0.003687,            0.003687,            0.065987
                   6,            0.054722,            0.035263,            0.039858,             0.44791,             0.38657,             0.28752,             0.12533,            0.043266,             0.01726,             0.03913,            0.004261,            0.004261,            0.060261
                   7,            0.050007,            0.034052,             0.03987,             0.38542,             0.45906,             0.28944,             0.11828,            0.045188,            0.016776,            0.037392,           0.0048146,           0.0048146,            0.054515
                   8,            0.054142,            0.033247,            0.039245,             0.43707,             0.50525,             0.34902,             0.12749,            0.044033,            0.016255,            0.036754,            0.005345,            0.005345,            0.048745
                   9,            0.051628,            0.034001,             0.03786,             0.56955,             0.34146,             0.42289,             0.18784,            0.041691,            0.016589,            0.034526,           0.0058494,           0.0058494,            0.042949
                  10,            0.050583,            0.033196,            0.035471,             0.48401,               0.587,             0.47718,             0.22552,            0.041193,            0.015773,            0.033004,           0.0063253,           0.0063253,            0.037125
                  11,            0.046172,            0.030989,            0.034494,             0.28821,             0.75283,             0.47491,             0.20534,            0.041305,            0.015121,            0.031338,           0.0067703,           0.0067703,             0.03127
                  12,            0.046497,            0.031825,            0.032764,             0.30281,             0.67067,             0.44495,             0.19225,            0.042346,            0.015193,             0.02893,           0.0071823,           0.0071823,            0.025382
                  13,            0.048424,            0.031949,            0.031572,             0.81381,             0.34584,              0.4456,             0.18222,            0.043622,            0.016028,            0.029462,           0.0075594,           0.0075594,            0.019459
                  14,            0.047815,            0.031358,            0.030572,             0.33171,             0.72647,             0.49161,             0.22912,            0.040917,            0.014934,            0.026823,           0.0078998,           0.0078998,              0.0135
                  15,            0.046188,            0.031692,            0.029659,             0.45342,              0.6997,             0.57305,             0.25743,            0.041967,            0.015503,            0.025341,            0.008145,            0.008145,            0.008145
                  16,            0.042363,             0.03098,            0.028617,              0.4989,             0.72028,             0.62575,             0.26611,            0.041126,             0.01627,            0.024062,            0.008145,            0.008145,            0.008145
                  17,             0.04091,            0.031754,            0.027306,              0.5693,                0.71,             0.65173,              0.2912,            0.040389,            0.015048,            0.023864,           0.0079112,           0.0079112,           0.0079112
                  18,            0.041798,            0.031147,             0.02665,             0.61047,             0.67751,             0.65745,             0.30291,            0.040295,            0.015036,            0.026451,           0.0076679,           0.0076679,           0.0076679
                  19,            0.041209,            0.030794,            0.024941,             0.60086,             0.69274,             0.68254,             0.29918,            0.038981,            0.015066,            0.021776,            0.007416,            0.007416,            0.007416
                  20,            0.040283,            0.029879,            0.022796,             0.60365,             0.71307,             0.71878,             0.32204,            0.039504,            0.014812,            0.019946,           0.0071566,           0.0071566,           0.0071566
                  21,            0.037843,            0.029603,            0.022437,             0.71386,               0.698,              0.7217,             0.34276,            0.037858,            0.015076,            0.017843,           0.0068906,           0.0068906,           0.0068906
                  22,            0.037634,            0.030553,            0.021101,             0.69443,             0.69101,             0.71703,             0.35454,            0.038695,            0.015047,            0.019501,           0.0066191,           0.0066191,           0.0066191
                  23,            0.037428,            0.028987,             0.02045,             0.80191,             0.61923,             0.71808,             0.36719,              0.0389,            0.015036,            0.017215,           0.0063432,           0.0063432,           0.0063432
                  24,            0.036891,            0.029318,            0.018443,             0.79514,               0.643,             0.77009,             0.38232,             0.03975,            0.014596,            0.018671,            0.006064,            0.006064,            0.006064
                  25,             0.03688,            0.028593,            0.017427,             0.73106,             0.81318,             0.80566,             0.40705,            0.037768,            0.014272,            0.017809,           0.0057826,           0.0057826,           0.0057826
                  26,            0.037202,            0.029447,            0.016636,             0.72638,             0.77046,             0.75574,             0.37732,            0.038333,            0.014384,            0.023639,              0.0055,              0.0055,              0.0055
                  27,            0.036033,            0.027905,            0.016145,             0.69897,              0.7419,             0.76887,             0.40152,            0.038063,            0.014568,            0.015396,           0.0052174,           0.0052174,           0.0052174
                  28,            0.035329,            0.028074,             0.01605,             0.74197,             0.79282,             0.79789,             0.40729,            0.037602,            0.014069,            0.015352,            0.004936,            0.004936,            0.004936
                  29,            0.035492,            0.028096,            0.015633,             0.79656,             0.72056,             0.79075,             0.41603,            0.038472,            0.014482,            0.013845,           0.0046568,           0.0046568,           0.0046568
                  30,            0.035051,            0.027733,            0.014244,             0.86435,             0.74047,              0.8185,             0.43248,            0.038041,            0.014575,            0.013227,           0.0043809,           0.0043809,           0.0043809
                  31,             0.03439,            0.027152,            0.014169,             0.82715,             0.66763,             0.78542,             0.42352,            0.036891,             0.01445,             0.01655,           0.0041094,           0.0041094,           0.0041094
                  32,             0.03396,            0.027187,             0.01385,             0.80852,             0.77913,             0.81714,             0.44344,            0.036867,            0.014439,             0.01062,           0.0038434,           0.0038434,           0.0038434
                  33,            0.034394,            0.027819,            0.013742,             0.82009,             0.71529,             0.80773,             0.43279,            0.037219,            0.014439,            0.012637,            0.003584,            0.003584,            0.003584
                  34,            0.033231,            0.025845,            0.012566,             0.85676,             0.76745,             0.81001,             0.43157,            0.037571,            0.014422,            0.010757,           0.0033321,           0.0033321,           0.0033321
                  35,             0.03332,            0.026739,             0.01239,             0.82587,              0.7447,             0.83934,             0.45758,            0.037058,            0.014036,           0.0090829,           0.0030888,           0.0030888,           0.0030888
                  36,            0.032937,            0.027011,            0.011116,             0.76809,             0.77429,             0.84228,             0.44987,              0.0369,            0.014508,           0.0099954,            0.002855,            0.002855,            0.002855
                  37,            0.033067,            0.025968,            0.011848,             0.78056,             0.78232,             0.81686,             0.42395,            0.037347,             0.01429,            0.013412,           0.0026316,           0.0026316,           0.0026316
                  38,            0.032626,            0.027799,            0.010754,              0.7655,             0.82416,             0.83037,             0.44974,            0.037516,            0.014214,            0.011806,           0.0024195,           0.0024195,           0.0024195
                  39,            0.032413,            0.026329,            0.010251,             0.72962,             0.83213,              0.8229,             0.43163,            0.037679,            0.014176,             0.01402,           0.0022196,           0.0022196,           0.0022196
                  40,            0.031866,            0.027464,           0.0095039,             0.81707,             0.77176,             0.83648,             0.44735,            0.036772,            0.014218,           0.0087469,           0.0020327,           0.0020327,           0.0020327
                  41,              0.0317,            0.026019,            0.010408,             0.79747,             0.80813,             0.82841,             0.45425,            0.037062,            0.014139,            0.009786,           0.0018594,           0.0018594,           0.0018594
                  42,            0.031883,            0.025635,           0.0091352,             0.80749,             0.79121,             0.82899,             0.43261,            0.037058,            0.014266,           0.0089924,           0.0017005,           0.0017005,           0.0017005
                  43,            0.031392,            0.025915,           0.0087346,             0.86122,             0.76502,             0.84063,             0.43636,             0.03716,            0.014117,           0.0090654,           0.0015566,           0.0015566,           0.0015566
                  44,            0.031151,            0.025692,            0.008142,             0.81822,             0.82075,             0.84842,             0.44759,            0.037531,            0.014411,           0.0097585,           0.0014283,           0.0014283,           0.0014283
                  45,            0.031645,            0.026392,           0.0077837,             0.82479,             0.76258,             0.82332,             0.44317,            0.037473,            0.014449,           0.0088998,            0.001316,            0.001316,            0.001316
                  46,            0.031531,            0.026614,           0.0083702,               0.814,             0.75594,              0.8334,             0.44214,            0.037017,            0.014393,            0.011317,           0.0012202,           0.0012202,           0.0012202
                  47,            0.030943,            0.026328,           0.0072264,              0.7933,             0.80064,             0.83034,             0.45564,            0.036755,            0.014217,            0.011678,           0.0011414,           0.0011414,           0.0011414
                  48,            0.030849,            0.024951,           0.0077885,             0.84179,             0.81389,             0.84578,             0.46115,            0.036724,            0.014035,            0.009411,           0.0010797,           0.0010797,           0.0010797
                  49,            0.030777,             0.02554,           0.0079116,             0.78915,              0.8221,             0.82881,              0.4563,            0.036845,            0.014177,            0.010966,           0.0010355,           0.0010355,           0.0010355
