               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095969,            0.056474,            0.049349,            0.085772,             0.17304,            0.047962,            0.013213,            0.069328,            0.041518,            0.049871,             0.00161,             0.00161,             0.08551
                   1,            0.065007,            0.048461,            0.046268,             0.17214,             0.44269,             0.15967,            0.054763,            0.049199,            0.030801,            0.047413,           0.0032271,           0.0032271,            0.070927
                   2,             0.05881,            0.041137,            0.045114,             0.14281,             0.64444,             0.19816,            0.081208,            0.047813,            0.026887,            0.046581,           0.0048328,           0.0048328,            0.056333
                   3,            0.052893,            0.038292,            0.044078,             0.20008,             0.50974,             0.22954,            0.082059,            0.048041,             0.02526,             0.04411,           0.0064184,           0.0064184,            0.041718
                   4,            0.050487,            0.036295,            0.040154,             0.56005,             0.45518,             0.38723,             0.16176,            0.043954,            0.024915,            0.039649,           0.0079756,           0.0079756,            0.027076
                   5,            0.050403,            0.036046,            0.035062,             0.57109,             0.51658,             0.46095,             0.17874,             0.04306,            0.025499,            0.034155,           0.0094961,           0.0094961,            0.012396
                   6,            0.046328,            0.035923,            0.028872,             0.72115,             0.54724,             0.58786,              0.2592,            0.041736,            0.025462,              0.0251,            0.009684,            0.009684,            0.009684
                   7,             0.04264,            0.034798,            0.023788,              0.7379,             0.61713,             0.63354,             0.29018,            0.040162,            0.023897,            0.021961,            0.009684,            0.009684,            0.009684
                   8,            0.041796,            0.034028,            0.021534,             0.58894,             0.70766,               0.703,             0.32204,            0.040076,            0.023836,            0.019214,           0.0095717,           0.0095717,           0.0095717
                   9,             0.03987,            0.033685,             0.01957,             0.51048,             0.77518,               0.681,             0.35035,            0.036664,            0.023757,            0.019211,           0.0094434,           0.0094434,           0.0094434
                  10,             0.03922,            0.033648,            0.017345,             0.54167,             0.77504,             0.70166,             0.34334,            0.037549,              0.0235,            0.018923,           0.0092995,           0.0092995,           0.0092995
                  11,            0.038169,            0.033766,            0.017426,             0.58121,             0.75375,             0.68577,             0.34681,            0.037038,            0.023924,            0.020246,           0.0091406,           0.0091406,           0.0091406
                  12,            0.037852,            0.032823,            0.016939,             0.67743,             0.74677,             0.74343,             0.38178,            0.035652,            0.023114,            0.016729,           0.0089673,           0.0089673,           0.0089673
                  13,            0.037445,            0.032888,            0.015042,             0.66078,             0.76625,             0.74813,             0.37874,            0.035507,            0.023354,            0.017138,           0.0087804,           0.0087804,           0.0087804
                  14,            0.037012,            0.032427,            0.013736,             0.71555,             0.71973,             0.73754,             0.37442,            0.036999,            0.023271,            0.015181,           0.0085805,           0.0085805,           0.0085805
                  15,             0.03659,            0.032343,            0.013448,             0.64016,             0.77221,             0.71681,             0.36334,            0.036548,            0.023607,            0.015647,           0.0083684,           0.0083684,           0.0083684
                  16,            0.035914,            0.030956,            0.013416,              0.7826,             0.65333,             0.73303,             0.37143,             0.03669,            0.023212,             0.01475,            0.008145,            0.008145,            0.008145
                  17,            0.035881,            0.031782,            0.012656,             0.67231,             0.77023,             0.72883,             0.36432,            0.036747,            0.023303,            0.015304,           0.0079112,           0.0079112,           0.0079112
                  18,            0.034565,             0.03107,            0.012667,             0.71138,             0.74691,             0.74272,             0.37823,             0.03623,            0.023285,            0.016806,           0.0076679,           0.0076679,           0.0076679
                  19,             0.03481,            0.031427,            0.011783,             0.70554,             0.75163,             0.73382,             0.37198,            0.035711,            0.023063,            0.018902,            0.007416,            0.007416,            0.007416
                  20,             0.03456,            0.032378,            0.010981,             0.68914,             0.76676,              0.7483,             0.39331,            0.035186,            0.023011,            0.013595,           0.0071566,           0.0071566,           0.0071566
                  21,            0.034529,            0.031889,            0.010687,             0.73705,             0.72693,             0.73489,              0.3696,            0.036752,            0.023154,            0.015309,           0.0068906,           0.0068906,           0.0068906
                  22,            0.033896,            0.030255,            0.010084,             0.69068,              0.7586,             0.74678,             0.37728,            0.035545,            0.023111,            0.014314,           0.0066191,           0.0066191,           0.0066191
                  23,            0.033123,            0.030477,           0.0096857,             0.74364,             0.73322,             0.75102,             0.38276,            0.035211,            0.022994,            0.014784,           0.0063432,           0.0063432,           0.0063432
                  24,            0.033006,            0.029864,           0.0089178,             0.72664,             0.72393,             0.73022,             0.38099,            0.036026,            0.023058,            0.015121,            0.006064,            0.006064,            0.006064
                  25,            0.032758,            0.029599,           0.0088589,             0.65457,             0.76535,             0.71037,             0.36656,            0.035748,            0.023201,            0.018105,           0.0057826,           0.0057826,           0.0057826
